substance_id,cid,substance_name,substance_class,source,target_name,gene,species,affinity_type,affinity_nm_raw,ki_nm,reference,pmid,assay_description,endogenous,primary_target
cid:62787,62787,"2,5-DMA",Amphetamine,pdsp,5-HT2A,HTR2A,UNDEFINED,Ki,5200.0,5200.0,"Runyon SP et al., 2008",,,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL3358,,,IC50,100000.0,100000.0,,,Inhibitory concentration against monoamine oxidase A in rat brain mitochondrial suspension,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2093870,,,Ki,465.0,465.0,,,Compound was evaluated for its ability to displace 0.25 nM [125I](R)-DOI from binding sites in rat frontal cortex.,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2095159,,,Ki,1020.0,1020.0,,,Evaluated for binding affinity towards rat cortical membranes at 5-hydroxytryptamine 1 receptor binding site by using [3,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2093870,,,Ki,5200.0,5200.0,,,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 (5-HT2) receptor using [3H]KET as a radioligand,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL322,,,Ki,4720.0,4720.0,,,Displacement of [3H]ketanserin from NIH3T3 cells stably expressing rat 5-hydroxytryptamine 2A receptor,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL324,,,Ki,10000.0,10000.0,,,Displacement of [3H]mesulergine from A9 cells stably expressing rat 5-hydroxytryptamine 2C receptor,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2093870,,,Ki,5200.0,5200.0,,,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL324,,,Ki,1217.0,1217.0,,,Binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homoge,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2093870,,,Ki,5200.0,5200.0,,,Binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogen,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2095159,,,Ki,1020.0,1020.0,,,Binding affinity for 5-hydroxytryptamine 1 receptor of rat prefrontal cortex,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2093870,,,Ki,5200.0,5200.0,,,Displacement of [3H]ketanserin from rat prefrontal cortex 5-hydroxytryptamine 2 receptor,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL322,,,Ki,5200.0,5200.0,,,Binding affinity towards 5-hydroxytryptamine 2A receptor sites by using [3H]ketanserin as radioligand,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL322,,,Ki,5200.0,5200.0,,,Displacement of [3H]ketanserin from 5HT2A receptor in Sprague-Dawley rat brain by liquid scintillation spectroscopy,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL224,,,Ki,5200.0,5200.0,,,Displacement of [3H]ketanserin from 5HT2A receptor expressed in NIH3T3 cells,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL322,,,Ki,5200.0,5200.0,,,Displacement of [3H]ketanserin from 5HT2A in Sprague-Dawley rat cortex membranes measured after 15 mins,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL322,,,Ki,268.0,268.0,,,Displacement of [3H]DOB from 5HT2A in Sprague-Dawley rat cortex membranes measured after 15 mins by scintillation counti,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL224,,,Ki,211.0,211.0,,,Displacement of [125I]DOI from recombinant human 5HT2A expressed in Syrian hamster AV12 cell membranes,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL322,,,Ki,4720.0,4720.0,,,Displacement of [3H]ketanserin from rat 5HT2A expressed in mouse NIH/3T3 cell membranes after 30 mins by scintillation c,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2094123,,,Kd,147.91,,,,Affinity against 5-hydroxytryptamine receptors in rat fundus model,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2094123,,,Kd,147.91,,,,Binding affinity at rat 5-hydroxytryptamine receptor.,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL323,,,Kd,147.91,,,,Affinity against 5-hydroxytryptamine 2B receptor in the isolated rat stomach fundus,,
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,CHEMBL2094123,,,Kd,147.91,,,,Competitive antagonist activity at 5-HT serotonin receptor in Sprague-Dawley rat stomach fundus model assessed as inhibi,,
cid:62787,62787,"2,5-DMA",Amphetamine,bindingdb,5-hydroxytryptamine receptor 2A,,Human,Ki,211.0,211.0,,,,,
cid:62787,62787,"2,5-DMA",Amphetamine,bindingdb,5-hydroxytryptamine receptor 2A,,Rat,Ki,268.0,268.0,,,,,
cid:62787,62787,"2,5-DMA",Amphetamine,bindingdb,5-hydroxytryptamine receptor 2B,,Human,Ki,1039.0,1039.0,,,,,
cid:62787,62787,"2,5-DMA",Amphetamine,bindingdb,Amine oxidase [flavin-containing] A,,Rat,IC50,,,,,,,
cid:62787,62787,"2,5-DMA",Amphetamine,bindingdb,Serotonin 2 (5-HT2) receptor,,Rat,Ki,465.0,465.0,,,,,
