substance_id,cid,substance_name,substance_class,source,activity_type,value_nm,units,relation,target_id,assay_description
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,IC50,100000.0,nM,>,CHEMBL3358,Inhibitory concentration against monoamine oxidase A in rat brain mitochondrial suspension
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,465.0,nM,=,CHEMBL2093870,Compound was evaluated for its ability to displace 0.25 nM [125I](R)-DOI from binding sites in rat frontal cortex.
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,1020.0,nM,=,CHEMBL2095159,Evaluated for binding affinity towards rat cortical membranes at 5-hydroxytryptamine 1 receptor binding site by using [3
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL2093870,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 (5-HT2) receptor using [3H]KET as a radioligand
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,4720.0,nM,=,CHEMBL322,Displacement of [3H]ketanserin from NIH3T3 cells stably expressing rat 5-hydroxytryptamine 2A receptor
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,10000.0,nM,>,CHEMBL324,Displacement of [3H]mesulergine from A9 cells stably expressing rat 5-hydroxytryptamine 2C receptor
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL2093870,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,1217.0,nM,=,CHEMBL324,Binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homoge
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL2093870,Binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogen
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,1020.0,nM,=,CHEMBL2095159,Binding affinity for 5-hydroxytryptamine 1 receptor of rat prefrontal cortex
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL2093870,Displacement of [3H]ketanserin from rat prefrontal cortex 5-hydroxytryptamine 2 receptor
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL322,Binding affinity towards 5-hydroxytryptamine 2A receptor sites by using [3H]ketanserin as radioligand
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL322,Displacement of [3H]ketanserin from 5HT2A receptor in Sprague-Dawley rat brain by liquid scintillation spectroscopy
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL224,Displacement of [3H]ketanserin from 5HT2A receptor expressed in NIH3T3 cells
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,5200.0,nM,=,CHEMBL322,Displacement of [3H]ketanserin from 5HT2A in Sprague-Dawley rat cortex membranes measured after 15 mins
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,268.0,nM,=,CHEMBL322,Displacement of [3H]DOB from 5HT2A in Sprague-Dawley rat cortex membranes measured after 15 mins by scintillation counti
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,211.0,nM,=,CHEMBL224,Displacement of [125I]DOI from recombinant human 5HT2A expressed in Syrian hamster AV12 cell membranes
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Ki,4720.0,nM,=,CHEMBL322,Displacement of [3H]ketanserin from rat 5HT2A expressed in mouse NIH/3T3 cell membranes after 30 mins by scintillation c
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Kd,147.91,nM,=,CHEMBL2094123,Affinity against 5-hydroxytryptamine receptors in rat fundus model
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Kd,147.91,nM,=,CHEMBL2094123,Binding affinity at rat 5-hydroxytryptamine receptor.
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Kd,147.91,nM,=,CHEMBL323,Affinity against 5-hydroxytryptamine 2B receptor in the isolated rat stomach fundus
cid:62787,62787,"2,5-DMA",Amphetamine,chembl,Kd,147.91,nM,=,CHEMBL2094123,Competitive antagonist activity at 5-HT serotonin receptor in Sprague-Dawley rat stomach fundus model assessed as inhibi
cid:10251906,10251906,25I-NBOMe,Substituted_phenethylamines,chembl,Ki,2.2,nM,=,CHEMBL322,Binding affinity to rat 5-HT2A assessed as inhibition constant by liquid scintillation counter analysis
cid:10251906,10251906,25I-NBOMe,Substituted_phenethylamines,chembl,Ki,2.3,nM,=,CHEMBL1833,Binding affinity to 5-HT2B (unknown origin) assessed as inhibition constant by liquid scintillation counter analysis
cid:10251906,10251906,25I-NBOMe,Substituted_phenethylamines,chembl,Ki,7.0,nM,=,CHEMBL225,Binding affinity to 5-HT2C (unknown origin) assessed as inhibition constant by liquid scintillation counter analysis
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,36.0,nM,=,CHEMBL324,Affinity against 5-hydroxytryptamine 2C receptor in J1 cells transfected with the rat 5-HT2C gene labeled with [3H]mesul
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,34.0,nM,=,CHEMBL224,Affinity against 5-hydroxytryptamine 2A receptor (K) labeled with [3H]ketanserin.
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,1.0,nM,=,CHEMBL224,Affinity against 5-hydroxytryptamine 2A receptor (D) labeled with [125I]DOI.
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,16.0,nM,=,CHEMBL322,Displacement of [3H]ketanserin from NIH3T3 cells stably expressing rat 5-hydroxytryptamine 2A receptor
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,190.0,nM,=,CHEMBL324,Displacement of [3H]mesulergine from A9 cells stably expressing rat 5-hydroxytryptamine 2C receptor
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,36.0,nM,=,CHEMBL324,Binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homoge
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,34.0,nM,=,CHEMBL2093870,Binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogen
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,0.66,nM,=,CHEMBL224,Displacement of (+/-)-[125I]DOI from human cloned 5HT2A receptor
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,Ki,0.88,nM,=,CHEMBL322,Displacement of (+/-)-[125I]DOI from rat cloned 5HT2A receptor
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,EC50,27.0,nM,=,CHEMBL322,Activity at rat 5HT2A receptor expressed in NIH3T3 cells assessed as stimulation of phospholipase C-mediated IP producti
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,EC50,,,,CHEMBL322,Activity at rat 5HT2A receptor expressed in NIH3T3 cells assessed as stimulation of arachidonic acid release
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,EC50,,,,CHEMBL322,Activity at rat 5HT2A receptor expressed in NIH3T3 cells assessed as stimulation of 2-arachidonylglycerol production
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,EC50,7190.0,nM,=,CHEMBL5857,Agonist activity at human trace amine associated receptor 1 expressed in RD-HGA16 CHO-K1 cells coexpressed with Galpha16
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,EC50,1.6,nM,=,CHEMBL224,Agonist activity at human 5-HT2AR expressed in HEK293 cells incubated upto 90 sec by Fluo-4 AM dye based Ca2+ imaging as
cid:98527,98527,2C-B,Substituted_phenethylamines,chembl,EC50,4100.0,nM,=,CHEMBL225,Agonist activity at human 5-HT2CR expressed in HEK293 cells incubated upto 90 sec by Fluo-4 AM dye based Ca2+ imaging as
cid:10265873,10265873,2C-B-FLY,"Substituted_phenethylamines, Substituted_benzofurans",chembl,Ki,34.0,nM,=,CHEMBL322,Binding affinity towards rat cortical 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand
cid:10265873,10265873,2C-B-FLY,"Substituted_phenethylamines, Substituted_benzofurans",chembl,Ki,0.8,nM,=,CHEMBL273,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand
cid:10265873,10265873,2C-B-FLY,"Substituted_phenethylamines, Substituted_benzofurans",chembl,Ki,34.0,nM,=,CHEMBL322,Displacement of [3H]ketanserin from 5HT2A receptor in Sprague-Dawley rat brain by liquid scintillation spectroscopy
cid:135740,135740,2C-D,Substituted_phenethylamines,chembl,EC50,6478.0,nM,=,CHEMBL5857,Agonist activity at human trace amine associated receptor 1 expressed in RD-HGA16 CHO-K1 cells coexpressed with Galpha16
cid:24729233,24729233,2C-E,Substituted_phenethylamines,chembl,EC50,6410.0,nM,=,CHEMBL5857,Agonist activity at human trace amine associated receptor 1 expressed in RD-HGA16 CHO-K1 cells coexpressed with Galpha16
cid:76632,76632,2C-H,Substituted_phenethylamines,chembl,Ki,3000.0,nM,=,CHEMBL322,Displacement of [3H]ketanserin from NIH3T3 cells stably expressing rat 5-hydroxytryptamine 2A receptor
cid:76632,76632,2C-H,Substituted_phenethylamines,chembl,Ki,5520.0,nM,=,CHEMBL324,Displacement of [3H]mesulergine from A9 cells stably expressing rat 5-hydroxytryptamine 2C receptor
cid:76632,76632,2C-H,Substituted_phenethylamines,chembl,Ki,2820.0,nM,=,CHEMBL322,Binding affinity against rat 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand
