substance_id,cid,substance_name,substance_class,source,target_id,target_name,target_species,interaction_type,action,affinity_display,affinity_parameter,endogenous,primary_target
cid:10251906,10251906,25I-NBOMe,Substituted_phenethylamines,iuphar,6,5-HT<sub>2A</sub> receptor,Rat,Agonist,Agonist,8.7,pKi,False,False
cid:98527,98527,2C-B,Substituted_phenethylamines,iuphar,6,5-HT<sub>2A</sub> receptor,Human,Agonist,Agonist,9.2,pKi,False,False
cid:1832,1832,5-MeO-DMT,Substituted_tryptamines,iuphar,4,5-ht<sub>1e</sub> receptor,Human,Agonist,Full agonist,6.1 - 6.3,pKi,False,False
cid:1832,1832,5-MeO-DMT,Substituted_tryptamines,iuphar,5,5-HT<sub>1F</sub> receptor,Human,Agonist,Full agonist,7.4,pKi,False,False
cid:1832,1832,5-MeO-DMT,Substituted_tryptamines,iuphar,8,5-HT<sub>2C</sub> receptor,Human,Agonist,Full agonist,6.2 - 7.0,pKi,False,False
cid:1832,1832,5-MeO-DMT,Substituted_tryptamines,iuphar,11,5-HT<sub>6</sub> receptor,Rat,Agonist,Full agonist,6.9,pKi,False,False
cid:1832,1832,5-MeO-DMT,Substituted_tryptamines,iuphar,12,5-HT<sub>7</sub> receptor,Rat,Agonist,Full agonist,7.4 - 7.7,pKi,False,False
cid:187,187,Acetylcholine,,iuphar,13,M<sub>1</sub> receptor,Human,Agonist,Agonist,,,False,False
cid:187,187,Acetylcholine,,iuphar,14,M<sub>2</sub> receptor,Human,Agonist,Agonist,8.8,pKd,False,False
cid:187,187,Acetylcholine,,iuphar,15,M<sub>3</sub> receptor,Human,Agonist,Agonist,,,False,False
cid:187,187,Acetylcholine,,iuphar,16,M<sub>4</sub> receptor,Human,Agonist,Agonist,8.2,pKd,False,False
cid:187,187,Acetylcholine,,iuphar,17,M<sub>5</sub> receptor,Human,Agonist,Agonist,,,False,False
cid:5816,5816,Adrenaline,,iuphar,24,&alpha;<sub>1D</sub>-adrenoceptor,Rat,Agonist,Full agonist,6.3,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,22,&alpha;<sub>1A</sub>-adrenoceptor,Human,Agonist,Full agonist,5.1 - 6.5,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,24,&alpha;<sub>1D</sub>-adrenoceptor,Human,Agonist,Full agonist,5.3 - 7.2,pKi,True,True
cid:5816,5816,Adrenaline,,iuphar,29,&beta;<sub>2</sub>-adrenoceptor,Human,Agonist,Full agonist,6.0 - 6.2,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,26,&alpha;<sub>2B</sub>-adrenoceptor,Human,Agonist,Full agonist,3.6 - 5.2,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,27,&alpha;<sub>2C</sub>-adrenoceptor,Human,Agonist,Full agonist,4.9 - 5.8,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,28,&beta;<sub>1</sub>-adrenoceptor,Human,Agonist,Agonist,5.2 - 6.0,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,30,&beta;<sub>3</sub>-adrenoceptor,Human,Agonist,Full agonist,3.9 - 4.7,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,2597,carbonic anhydrase 1,Human,Activator,Activation,,,False,False
cid:5816,5816,Adrenaline,,iuphar,22,&alpha;<sub>1A</sub>-adrenoceptor,Human,Agonist,Full agonist,9.1,pEC50,False,False
cid:5816,5816,Adrenaline,,iuphar,23,&alpha;<sub>1B</sub>-adrenoceptor,Human,Agonist,Full agonist,3.9 - 6.5,pKi,True,False
cid:5816,5816,Adrenaline,,iuphar,23,&alpha;<sub>1B</sub>-adrenoceptor,Human,Agonist,Full agonist,9.4,pEC50,False,False
cid:5816,5816,Adrenaline,,iuphar,25,&alpha;<sub>2A</sub>-adrenoceptor,Human,Agonist,Full agonist,6.5,pIC50,False,False
cid:5816,5816,Adrenaline,,iuphar,25,&alpha;<sub>2A</sub>-adrenoceptor,Human,Agonist,Full agonist,5.5,pEC50,False,False
cid:5816,5816,Adrenaline,,iuphar,25,&alpha;<sub>2A</sub>-adrenoceptor,Human,Agonist,Full agonist,8.0,pEC50,False,False
cid:5816,5816,Adrenaline,,iuphar,25,&alpha;<sub>2A</sub>-adrenoceptor,Human,Agonist,Full agonist,6.8,pEC50,False,False
cid:5816,5816,Adrenaline,,iuphar,25,&alpha;<sub>2A</sub>-adrenoceptor,Human,Agonist,Full agonist,3.7 - 7.4,pKi,True,True
