substance_id,cid,substance_name,substance_class,source,target_name,gene,species,ki_nm,reference,reference_source
cid:62787,62787,"2,5-DMA",Amphetamine,pdsp,5-HT2A,HTR2A,UNDEFINED,5200.0,"Runyon SP et al., 2008",UNDEFINED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT1A,HTR1A,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT1B,HTR1B,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT1D,HTR1D,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT1E,HTR1E,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT2A,HTR2A,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT2B,HTR2B,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT2C,HTR2C,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT5a,HTR5A,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT6,HTR6,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,5-HT7,HTR7,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,alpha1A,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,alpha1B,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,Alpha1D,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,Alpha2A,,HUMAN,134.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,Alpha2B,,HUMAN,211.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,Alpha2C,,HUMAN,41.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,beta1,,HUMAN,10000.0,Halberstadt Adam L et al 2019,HEART
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,Beta 2,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,beta3,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,D1,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,D2,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,D3,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,D4,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,D5,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,DAT,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
cid:76310,76310,2-Aminoindane,Aminoindane,pdsp,Norepinephrine transporter,,HUMAN,10000.0,Halberstadt Adam L et al 2019,CLONED
